controller,n,seed,placed,completed,mwt,mean_time_loss,mean_in_system,departed,action_hold,action_expert,action_override
max_pressure,1700,1,1700,150,80.14,151.20953333333333,521.7885095753538,756,0,0,0
max_pressure,1700,2,1700,129,119.75193798449612,198.4422480620155,531.8168193172356,732,0,0,0
max_pressure,1700,3,1700,164,55.28658536585366,110.67609756097562,517.0757701915071,769,0,0,0
max_pressure,1700,4,1700,157,81.07643312101911,154.9084713375796,517.0174854288093,763,0,0,0
max_pressure,1700,5,1700,145,60.19310344827586,115.83551724137932,521.2980849292256,750,0,0,0
max_pressure,1700,6,1700,173,79.35838150289017,156.43213872832368,520.9267277268942,777,0,0,0
max_pressure,1700,7,1700,179,77.36312849162012,153.2654189944134,512.8859283930059,783,0,0,0
max_pressure,1700,8,1700,242,98.2107438016529,189.13243801652894,500.43963363863446,846,0,0,0
max_pressure,1700,9,1700,176,87.78977272727273,173.04880681818182,521.2497918401332,783,0,0,0
qlearning,50,0,50,50,12.26,30.838800000000003,3.758534554537885,50,0,0,0
qlearning,50,1,50,50,7.48,24.1448,3.7352206494587845,50,0,0,0
qlearning,50,2,50,50,10.86,28.7558,3.7643630308076603,50,0,0,0
qlearning,50,3,50,50,8.34,24.7432,3.5262281432139884,50,0,0,0
qlearning,50,4,50,50,10.62,28.6888,3.6511240632805997,50,0,0,0
qlearning,50,5,50,50,8.34,24.9648,3.1923397169025813,50,0,0,0
qlearning,50,6,50,50,11.84,29.027199999999997,3.3838467943380515,50,0,0,0
qlearning,50,7,50,50,15.18,32.5598,3.7593671940049957,50,0,0,0
qlearning,50,8,50,50,8.12,24.485599999999998,3.3472106577851792,50,0,0,0
qlearning,50,9,50,50,12.32,31.3596,3.4621149042464614,50,0,0,0
qlearning,100,0,100,100,8.94,26.9591,6.877601998334721,100,0,0,0
qlearning,100,1,100,100,9.02,27.3902,7.4937552039966695,100,0,0,0
qlearning,100,2,100,100,8.41,25.5107,6.825145711906744,100,0,0,0
qlearning,100,3,100,100,8.92,26.671300000000002,7.030807660283098,100,0,0,0
qlearning,100,4,100,100,8.3,25.9328,7.113238967527061,100,0,0,0
qlearning,100,5,100,100,8.24,26.098000000000003,6.915903413821815,100,0,0,0
qlearning,100,6,100,100,10.86,29.153499999999998,7.094920899250624,100,0,0,0
qlearning,100,7,100,100,9.15,27.5875,7.150707743547044,100,0,0,0
qlearning,100,8,100,100,11.04,27.7915,6.810158201498751,100,0,0,0
qlearning,100,9,100,100,11.58,30.0762,6.869275603663613,100,0,0,0
qlearning,200,0,200,200,11.285,30.914749999999998,14.350541215653623,200,0,0,0
qlearning,200,1,200,200,10.765,31.1331,14.624479600333055,200,0,0,0
qlearning,200,2,200,200,9.485,28.1439,14.230641132389675,200,0,0,0
qlearning,200,3,200,200,10.485,29.2035,14.175686927560367,200,0,0,0
qlearning,200,4,200,200,8.43,26.4098,14.069941715237302,200,0,0,0
qlearning,200,5,200,200,9.965,28.3081,14.129891756869275,200,0,0,0
qlearning,200,6,200,200,10.185,29.26435,14.178184845961699,200,0,0,0
qlearning,200,7,200,200,10.92,30.758899999999997,14.64113238967527,200,0,0,0
qlearning,200,8,200,200,10.76,29.756700000000002,14.339716902581182,200,0,0,0
qlearning,200,9,200,200,10.625,29.3682,13.421315570358034,200,0,0,0
qlearning,300,0,300,300,11.483333333333333,31.915033333333334,22.243963363863447,300,0,0,0
qlearning,300,1,300,300,11.903333333333334,32.46926666666667,22.322231473771858,300,0,0,0
qlearning,300,2,300,300,11.426666666666666,31.426799999999997,21.907577019150708,300,0,0,0
qlearning,300,3,300,300,11.153333333333334,31.680033333333334,21.862614487926727,300,0,0,0
qlearning,300,4,300,300,11.066666666666666,31.42243333333333,21.88676103247294,300,0,0,0
qlearning,300,5,300,300,11.403333333333334,30.975466666666666,21.645295587010825,300,0,0,0
qlearning,300,6,300,300,11.92,32.284866666666666,21.938384679433806,300,0,0,0
qlearning,300,7,300,300,9.773333333333333,29.621733333333335,21.016652789342213,300,0,0,0
qlearning,300,8,300,300,12.39,33.10043333333333,22.16819317235637,300,0,0,0
qlearning,300,9,300,300,10.876666666666667,30.135833333333334,20.298084929225645,300,0,0,0
qlearning,450,0,450,450,15.786666666666667,39.4038,35.81265611990008,450,0,0,0
qlearning,450,1,450,450,14.155555555555555,37.76882222222223,34.94671107410491,450,0,0,0
qlearning,450,2,450,450,14.017777777777777,37.1662,35.328059950041634,450,0,0,0
qlearning,450,3,450,450,14.797777777777778,38.915488888888895,35.41382181515404,450,0,0,0
qlearning,450,4,450,450,14.78,37.91702222222222,34.5661948376353,450,0,0,0
qlearning,450,5,450,450,13.06,35.23268888888889,33.441298917568695,450,0,0,0
qlearning,450,6,450,450,15.78888888888889,39.30435555555555,36.02081598667777,450,0,0,0
qlearning,450,7,450,450,16.024444444444445,39.93333333333333,34.655287260616156,450,0,0,0
qlearning,450,8,450,450,14.0,36.7632,34.62864279766861,450,0,0,0
qlearning,450,9,450,450,14.702222222222222,37.73768888888889,33.59034138218151,450,0,0,0
qlearning,600,0,600,600,26.44,59.60471666666667,58.01165695253955,600,0,0,0
qlearning,600,1,600,600,23.69,54.28915,54.2947543713572,600,0,0,0
qlearning,600,2,600,600,29.828333333333333,66.31795,61.42131557035803,600,0,0,0
qlearning,600,3,600,600,29.18,63.8496,59.208159866777684,600,0,0,0
qlearning,600,4,600,600,21.816666666666666,50.054766666666666,52.20233139050791,600,0,0,0
qlearning,600,5,600,600,21.608333333333334,50.559266666666666,51.52622814321399,600,0,0,0
qlearning,600,6,600,600,26.391666666666666,57.989399999999996,56.54870940882598,600,0,0,0
qlearning,600,7,600,600,19.003333333333334,46.197633333333336,49.796003330557866,600,0,0,0
qlearning,600,8,600,600,26.578333333333333,59.979749999999996,57.2248126561199,600,0,0,0
qlearning,600,9,600,600,23.06,53.80956666666667,51.56203164029975,600,0,0,0
qlearning,800,0,800,797,74.79171894604768,152.3714680050188,135.6186511240633,797,0,0,0
qlearning,800,1,800,799,47.34918648310388,103.30246558197747,105.20399666944213,799,0,0,0
qlearning,800,2,800,779,89.03722721437741,182.96802310654684,147.99417152373022,779,0,0,0
qlearning,800,3,800,781,86.08066581306018,177.4100128040973,149.87343880099917,781,0,0,0
qlearning,800,4,800,794,52.1095717884131,113.06933249370277,110.47793505412156,794,0,0,0
qlearning,800,5,800,798,67.01378446115288,138.20621553884712,127.26477935054122,798,0,0,0
qlearning,800,6,800,797,73.26223337515684,154.8089836888331,139.67776852622814,797,0,0,0
qlearning,800,7,800,798,62.17919799498747,128.05486215538846,118.25728559533722,798,0,0,0
qlearning,800,8,800,788,66.18527918781726,137.87446700507616,125.20399666944213,788,0,0,0
qlearning,800,9,800,780,79.46666666666667,156.89116666666666,132.87260616153205,780,0,0,0
